Symbol,Company Name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
INFY,Infosys Limited
ICICIBANK,ICICI Bank Limited
HINDUNILVR,Hindustan Unilever Limited
SBIN,State Bank of India
HDFC,Housing Development Finance Corporation Limited
BHARTIARTL,Bharti Airtel Limited
ADANIENT,Adani Enterprises Limited
LICI,Life Insurance Corporation Of India
ITC,ITC Limited
ATGL,Adani Total Gas Limited
BAJFINANCE,Bajaj Finance Limited
KOTAKBANK,Kotak Mahindra Bank Limited
ADANIGREEN,Adani Green Energy Limited
ASIANPAINT,Asian Paints Limited
LT,Larsen & Toubro Limited
ADANITRANS,Adani Transmission Limited
AXISBANK,Axis Bank Limited
HCLTECH,HCL Technologies Limited
DMART,Avenue Supermarts Limited
MARUTI,Maruti Suzuki India Limited
BAJAJFINSV,Bajaj Finserv Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
TITAN,Titan Company Limited
WIPRO,Wipro Limited
ULTRACEMCO,UltraTech Cement Limited
JSWSTEEL,JSW Steel Limited
ONGC,Oil & Natural Gas Corporation Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
NTPC,NTPC Limited
M&M,Mahindra & Mahindra Limited
POWERGRID,Power Grid Corporation of India Limited
COALINDIA,Coal India Limited
TATASTEEL,Tata Steel Limited
HINDZINC,Hindustan Zinc Limited
PIDILITIND,Pidilite Industries Limited
LTIM,LTIMindtree Limited
TATAMOTORS,Tata Motors Limited
SBILIFE,SBI Life Insurance Company Limited
HDFCLIFE,HDFC Life Insurance Company Limited
ADANIPOWER,Adani Power Limited
VEDL,Vedanta Limited
GRASIM,Grasim Industries Limited
IOC,Indian Oil Corporation Limited
HINDALCO,Hindalco Industries Limited
AMBUJACEM,Ambuja Cements Limited
BRITANNIA,Britannia Industries Limited
BAJAJ-AUTO,Bajaj Auto Limited
SIEMENS,Siemens Limited
DABUR,Dabur India Limited
TECHM,Tech Mahindra Limited
BANKBARODA,Bank of Baroda
INDUSINDBK,IndusInd Bank Limited
DLF,DLF Limited
DIVISLAB,Divi's Laboratories Limited
GODREJCP,Godrej Consumer Products Limited
EICHERMOT,Eicher Motors Limited
CIPLA,Cipla Limited
VBL,Varun Beverages Limited
HAL,Hindustan Aeronautics Limited
SHREECEM,SHREE CEMENT LIMITED
AWL,Adani Wilmar Limited
INDIGO,InterGlobe Aviation Limited
SBICARD,SBI Cards and Payment Services Limited
BEL,Bharat Electronics Limited
BPCL,Bharat Petroleum Corporation Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
DRREDDY,Dr. Reddy's Laboratories Limited
HAVELLS,Havells India Limited
SRF,SRF Limited
TATAPOWER,Tata Power Company Limited
MARICO,Marico Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
MCDOWELL-N,United Spirits Limited
GAIL,GAIL (India) Limited
PNB,Punjab National Bank
ICICIGI,ICICI Lombard General Insurance Company Limited
IOB,Indian Overseas Bank
CANBK,Canara Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
YESBANK,Yes Bank Limited
JINDALSTEL,Jindal Steel & Power Limited
IDBI,IDBI Bank Limited
ABB,ABB India Limited
BERGEPAINT,Berger Paints (I) Limited
UNIONBANK,Union Bank of India
HEROMOTOCO,Hero MotoCorp Limited
UPL,UPL Limited
TIINDIA,Tube Investments of India Limited
LODHA,Macrotech Developers Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
PIIND,PI Industries Limited
TVSMOTOR,TVS Motor Company Limited
INDUSTOWER,Indus Towers Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
BOSCHLTD,Bosch Limited
NAUKRI,Info Edge (India) Limited
ZOMATO,Zomato Limited
MOTHERSON,Samvardhana Motherson International Limited
TRENT,Trent Limited
PAGEIND,Page Industries Limited
JSWENERGY,JSW Energy Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
HDFCAMC,HDFC Asset Management Company Limited
ACC,ACC Limited
INDHOTEL,The Indian Hotels Company Limited
